iter	Logloss	Accuracy
875	0.0433251543	1
876	0.04324733088	1
877	0.04310186461	1
878	0.04307259586	1
879	0.04293985781	1
880	0.04293221286	1
881	0.04285590324	1
882	0.04280250738	1
883	0.04279495845	1
884	0.04273370209	1
885	0.04272629212	1
886	0.0426193632	1
887	0.04261280201	1
888	0.04260541557	1
889	0.04253180679	1
890	0.04247639191	1
891	0.04246907386	1
892	0.0423624559	1
893	0.04220647172	1
894	0.04211536872	1
895	0.04200112737	1
896	0.04192981773	1
897	0.04183869253	1
898	0.04168814275	1
899	0.04165301454	1
900	0.04150725453	1
901	0.04148332018	1
902	0.04140622084	1
903	0.04130632249	1
904	0.0413000699	1
905	0.04126156566	1
906	0.04125536701	1
907	0.04114600567	1
908	0.04103399858	1
909	0.04102786332	1
910	0.04088635141	1
911	0.04078930098	1
912	0.04073539743	1
913	0.04062563082	1
914	0.04061884752	1
915	0.04061281314	1
916	0.04055983425	1
917	0.0405538195	1
918	0.04046009417	1
919	0.04045342075	1
920	0.04040119826	1
921	0.0403531702	1
922	0.0402622033	1
923	0.04012443931	1
924	0.0400918056	1
925	0.04006437925	1
926	0.03995849221	1
927	0.03982572287	1
928	0.03981982653	1
929	0.03981397024	1
930	0.03972368117	1
931	0.03967713881	1
932	0.03967132604	1
933	0.03958748923	1
934	0.03958171807	1
935	0.03957600864	1
936	0.03955275739	1
937	0.03954710241	1
938	0.03951221444	1
939	0.03935010347	1
940	0.0392402973	1
941	0.03914727863	1
942	0.03914161349	1
943	0.03913598653	1
944	0.03913039734	1
945	0.03912484551	1
946	0.03911938819	1
947	0.03911396698	1
948	0.03908408797	1
949	0.03899889553	1
950	0.03899348905	1
951	0.0388760267	1
952	0.03887065905	1
953	0.03872275113	1
954	0.03864756014	1
955	0.03855525007	1
956	0.0385499929	1
957	0.03847596237	1
958	0.03836275092	1
959	0.03835746949	1
960	0.03831165282	1
961	0.03821636704	1
962	0.03813127195	1
963	0.03812609098	1
964	0.0381208865	1
965	0.0381157155	1
966	0.03811057765	1
967	0.03799718106	1
968	0.03790418217	1
969	0.03789912092	1
970	0.03785672345	1
971	0.0377411431	1
972	0.03769390139	1
973	0.03765652841	1
974	0.03761923275	1
975	0.03754837387	1
976	0.03748566852	1
977	0.03740587834	1
978	0.03734795775	1
979	0.03724245066	1
980	0.03718111796	1
981	0.03710891563	1
982	0.03702761753	1
983	0.03702215485	1
984	0.03696081091	1
985	0.03695589748	1
986	0.0368956708	1
987	0.03684007745	1
988	0.03675561194	1
989	0.03674939605	1
990	0.03674457903	1
991	0.03670017729	1
992	0.03669543465	1
993	0.03669066837	1
994	0.03660870343	1
995	0.03660402521	1
996	0.03659875652	1
997	0.03653364936	1
998	0.03650943041	1
999	0.03650480981	1
